タイムスタンプ,日付,収支,3,金額,ジャンル,支払い方法・移動元,場所,,内容,,移動先・収入先,本当に必要？,カード名,メモ
2024/08/09 21:41:06,2024/08/09,移動,,211000,,現金,,,預け入れ,,ゆうちょ,,,
2024/08/09 21:40:38,2024/08/09,移動,,822,,現金,,,貯金箱へ,,貯金箱,,,
2024/08/09 21:38:24,2024/08/09,収入,,29142,,,,,2024年07月分交通費,,現金,,,
2024/08/09 21:38:03,2024/08/09,収入,,182680,,,,,2024年07月分給料_SP,,現金,,,
2024/08/09 10:09:04,2024/08/09,支出,,634,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/08/08 18:14:32,2024/08/08,支出,,1384,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,
2024/08/08 17:38:07,2024/08/08,支出,,224,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,
2024/08/08 12:31:38,2024/08/08,支出,,600,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/08/08 11:18:11,2024/08/08,支出,,150,間食,クレジットカード,コンビニ,,飲み物,,,なくても良い,デビュープラス,
2024/08/07 16:48:00,2024/08/07,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/08/07 16:46:21,2024/08/07,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/08/07 12:25:08,2024/08/07,収入,,1000,,,,,マクロミル報酬,,paypay,,,
2024/08/07 09:33:10,2024/08/07,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/08/06 23:10:21,2024/08/06,支出,,364,日用品,amazonギフト,ネット,,石鹸,,,必要,,
2024/08/06 23:09:32,2024/08/06,支出,,457,日用品,amazonギフト,ネット,,ひげそり,,,必要,,
2024/08/06 23:08:57,2024/08/06,支出,,1120,日用品,amazonギフト,ネット,,歯磨き粉,,,必要,,
2024/08/06 20:51:12,2024/08/06,支出,,786,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,
2024/08/06 20:38:49,2024/08/06,移動,,49000,,現金,,,預け入れ,,ゆうちょ,,,
2024/08/06 20:23:08,2024/08/06,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/08/06 20:21:36,2024/08/06,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/08/06 08:20:40,2024/08/06,支出,,110,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/08/06 08:16:15,2024/08/06,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/08/05 06:15:04,2024/08/05,移動,,20000,,,,,SBI積立NISA約定,,SBI積立NISA,,,8月発注分
2024/08/05 21:56:54,2024/08/05,支出,,2029,固定費,paypay,ネット,,水道料金,,,必要,,6･7月分
2024/08/05 20:41:56,2024/08/05,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/08/05 20:41:27,2024/08/05,支出,,265,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,
2024/08/05 20:38:40,2024/08/05,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/08/05 08:25:50,2024/08/05,支出,,464,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/08/05 08:16:21,2024/08/05,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/08/04 21:17:19,2024/08/04,支出,,8504,減価償却,償却資産,ネット,,Galaxy S24 Ultra 512GB 減価償却,,,必要,,5回目/24回
2024/08/04 19:35:47,2024/08/04,支出,,989,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,
2024/08/04 08:09:45,2024/08/04,支出,,431,食品,paypay,コンビニ,,朝食,,,なくても良い,,
2024/08/02 06:15:04,2024/08/02,移動,,3851,,ゆうちょ,,,ENEOSカード支払い,,,,,6月利用分
2024/08/26 09:21:15,2024/08/02,移動,,1570,交通費(経費),クレジットカード,その他,,高速道路 湾岸市川〜川越,,,必要,ETCカード,
2024/08/04 20:33:43,2024/08/02,収入,,20000,,,,,母から臨時,,現金,,,
2024/08/02 23:07:53,2024/08/02,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/08/02 19:05:42,2024/08/02,支出,,390,間食,クレジットカード,飲食店,,コーヒー,,,なくても良い,デビュープラス,
2024/08/02 18:47:57,2024/08/02,移動,,356,交通費(経費),PASMO,,,電車 西武球場前〜本川越,,,必要,,
2024/08/02 08:46:54,2024/08/02,支出,,200,交通費,PASMO,その他,,バス 若葉駅→富屋交差点前,,,必要,,
2024/08/02 08:21:22,2024/08/02,支出,,209,交通費,PASMO,,,電車 川越市〜若葉,,,必要,,
2024/08/26 09:20:25,2024/08/01,移動,,2590,交通費(経費),クレジットカード,その他,,高速道路 鶴ヶ島〜湾岸習志野,,,必要,ETCカード,
2024/08/01 18:35:17,2024/08/01,支出,,480,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,
2024/08/01 16:59:58,2024/08/01,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/08/01 16:58:05,2024/08/01,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/08/01 15:44:06,2024/08/01,支出,,830,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,
2024/08/01 08:56:48,2024/08/01,支出,,558,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/08/01 08:51:20,2024/08/01,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/31 06:15:03,2024/07/31,支出,,4216,固定費,クレジットカード,ネット,,電気代,,,必要,デビュープラス,6月利用分
2024/07/31 21:32:32,2024/07/31,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/31 21:25:12,2024/07/31,移動,,324,交通費(経費),PASMO,,,電車 和光市〜川越市,,,必要,,
2024/07/31 20:19:24,2024/07/31,支出,,1552,食品,paypay,飲食店,,夕食,,,必要,,
2024/07/31 19:43:14,2024/07/31,移動,,293,交通費(経費),PASMO,,,電車 中目黒〜和光市,,,必要,,
2024/07/31 14:18:01,2024/07/31,支出,,110,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/31 08:23:35,2024/07/31,支出,,110,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/31 08:20:29,2024/07/31,支出,,430,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/31 08:20:09,2024/07/31,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/31 07:09:39,2024/07/31,支出,,6747,食品,クレジットカード,ネット,,nosh,,,必要,デビュープラス,
2024/07/30 23:10:25,2024/07/30,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/30 23:09:14,2024/07/30,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/30 23:08:47,2024/07/30,支出,,620,食品,PASMO,飲食店,,夕食,,,必要,,
2024/07/30 16:54:10,2024/07/30,支出,,14064,日用品,クレジットカード,ネット,,コンタクトレンズ,,,必要,paypayクレジット,
2024/07/30 14:02:56,2024/07/30,支出,,100,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/30 08:23:16,2024/07/30,支出,,140,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/30 08:20:09,2024/07/30,支出,,642,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/30 08:16:20,2024/07/30,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/29 06:15:04,2024/07/29,移動,,0,,ゆうちょ,,,paypayあと払い支払い,,,,,6月利用分
2024/07/29 06:15:04,2024/07/29,支出,,54300,固定費,ゆうちょ,ネット,,家賃,,,必要,,8月分
2024/08/26 13:03:33,2024/07/29,支出,,337,食品,クレジットカード,コンビニ,,昼食,,,なくても良い,デビュープラス,
2024/07/29 09:03:23,2024/07/29,支出,,436,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,デビュープラス,
2024/07/29 07:04:13,2024/07/29,支出,,4573,車両費,クレジットカード,その他,,ガソリン,,,必要,ENEOSカード,157円/L 29.13L給油
2024/07/28 12:13:52,2024/07/28,支出,,676,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/28 07:10:36,2024/07/28,支出,,631,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/27 21:57:52,2024/07/27,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/27 21:54:36,2024/07/27,移動,,157,交通費(経費),PASMO,,,電車 川越〜川越市,,,必要,,
2024/07/27 20:54:59,2024/07/27,移動,,481,交通費(経費),PASMO,,,電車 池袋〜川越,,,必要,,
2024/07/27 20:11:16,2024/07/27,移動,,252,交通費(経費),PASMO,,,電車 中目黒〜池袋,,,必要,,
2024/07/27 19:39:57,2024/07/27,支出,,620,食品,PASMO,飲食店,,夕食,,,なくても良い,,
2024/07/27 07:28:56,2024/07/27,支出,,110,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/27 07:26:21,2024/07/27,支出,,406,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/27 07:22:45,2024/07/27,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,
2024/07/27 07:20:33,2024/07/27,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/26 06:15:05,2024/07/26,移動,,0,,三井住友銀行,,,Olive支払い,,,,,6月利用分
2024/07/26 06:15:05,2024/07/26,移動,,95791,,ゆうちょ,,,デビュープラス支払い,,,,,6月利用分
2024/07/26 18:58:30,2024/07/26,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/26 18:55:42,2024/07/26,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/26 14:46:27,2024/07/26,支出,,100,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/26 14:42:37,2024/07/26,支出,,803,食品,paypay,飲食店,,昼食,,,必要,,
2024/07/26 12:57:16,2024/07/26,支出,,1625,日用品,クレジットカード,ネット,,アンドハニー詰替え,,,必要,paypayクレジット,
2024/07/26 08:28:59,2024/07/26,支出,,110,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/26 08:24:44,2024/07/26,支出,,617,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/26 08:16:18,2024/07/26,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/25 06:14:03,2024/07/25,支出,,3278,固定費,クレジットカード,ネット,,ガス代,,,必要,デビュープラス,7月利用分
2024/07/25 23:32:43,2024/07/25,支出,,289,間食,paypay,コンビニ,,おやつ,,,なくても良い,,
2024/07/25 23:32:26,2024/07/25,支出,,224,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,
2024/07/25 17:49:12,2024/07/25,支出,,2005,間食,amazonギフト,ネット,,キレートレモン,,,必要,,
2024/07/24 22:56:45,2024/07/24,支出,,376,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,
2024/07/23 19:57:34,2024/07/23,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/23 19:55:39,2024/07/23,支出,,345,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,
2024/07/23 19:52:53,2024/07/23,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/23 18:36:53,2024/07/23,支出,,620,食品,PASMO,飲食店,,夕食,,,なくても良い,,
2024/07/23 10:20:21,2024/07/23,支出,,696,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/23 10:14:47,2024/07/23,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/23 06:15:05,2024/07/23,支出,,2750,,クレジットカード,ネット,,タベソダ支払い,,,必要,デビュープラス,6月注文分
2024/07/22 21:25:55,2024/07/22,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/22 21:24:32,2024/07/22,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/22 17:13:01,2024/07/22,支出,,140,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/22 08:25:02,2024/07/22,支出,,447,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/22 08:17:29,2024/07/22,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/21 22:33:07,2024/07/21,支出,,989,食品,クレジットカード,コンビニ,,夕食,,,必要,デビュープラス,
2024/07/21 15:28:17,2024/07/21,支出,,607,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/20 22:59:11,2024/07/20,支出,,321,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,
2024/07/20 22:58:43,2024/07/20,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/20 22:54:28,2024/07/20,移動,,481,交通費(経費),PASMO,,,電車 池袋〜川越市,,,必要,,
2024/07/20 21:37:21,2024/07/20,支出,,970,食品,paypay,飲食店,,夕食,,,必要,,
2024/07/20 13:24:16,2024/07/20,支出,,110,間食,PASMO,自動販売機,,飲み物,,,なくても良い,,
2024/07/20 08:02:29,2024/07/20,支出,,644,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/20 07:51:33,2024/07/20,移動,,481,交通費(経費),PASMO,,,電車 川越市〜池袋,,,必要,,
2024/07/20 06:15:07,2024/07/20,支出,,2875,減価償却,償却資産,ネット,,2024年度自動車税 減価償却,,,必要,,3回目/12回
2024/08/26 13:00:34,2024/07/19,支出,,597,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/19 20:08:18,2024/07/19,支出,,1682,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,
2024/07/19 06:15:19,2024/07/19,支出,,463,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/08/26 12:58:42,2024/07/18,支出,,130,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/18 23:23:38,2024/07/18,支出,,326,間食,クレジットカード,コンビニ,,おやつ,,,なくても良い,デビュープラス,
2024/07/18 23:11:47,2024/07/18,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/18 23:08:32,2024/07/18,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/18 21:40:53,2024/07/18,支出,,620,食品,PASMO,飲食店,,夕食,,,必要,,
2024/07/18 13:17:54,2024/07/18,支出,,820,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/18 08:24:53,2024/07/18,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/17 21:29:39,2024/07/17,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/17 21:28:12,2024/07/17,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/17 20:01:58,2024/07/17,支出,,830,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,
2024/07/17 08:24:14,2024/07/17,支出,,100,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/17 08:21:51,2024/07/17,支出,,471,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/17 08:16:25,2024/07/17,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/17 07:10:00,2024/07/17,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,
2024/07/17 00:36:14,2024/07/16,支出,,1030,食品,paypay,飲食店,,夕食,,,なくても良い,,
2024/07/17 00:35:41,2024/07/16,支出,,255,間食,クレジットカード,スーパー・小売,,おやつ,,,なくても良い,デビュープラス,
2024/07/16 19:45:25,2024/07/16,支出,,7150,美容費,クレジットカード,その他,,散髪,,,必要,デビュープラス,
2024/07/15 06:15:06,2024/07/15,支出,,4403,通信費,クレジットカード,ネット,,ソフトバンク光,,,必要,デビュープラス,6月利用分
2024/07/15 06:15:06,2024/07/15,支出,,4078,通信費,クレジットカード,ネット,,スマホ,,,必要,デビュープラス,6月利用分
2024/07/15 22:06:09,2024/07/15,支出,,506,食品,クレジットカード,コンビニ,,夕食,,,なくても良い,デビュープラス,
2024/07/15 21:59:36,2024/07/15,支出,,857,食品,クレジットカード,飲食店,,夕食,,,必要,デビュープラス,
2024/07/15 06:47:05,2024/07/15,移動,,1000,交通費(経費),PASMO,その他,,駐車場,,,必要,,領収書入れた
2024/07/15 06:34:00,2024/07/15,支出,,623,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/14 11:16:41,2024/07/14,支出,,1026,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/14 07:07:13,2024/07/14,支出,,279,食品,クレジットカード,コンビニ,,朝食,,,必要,デビュープラス,
2024/07/14 05:55:54,2024/07/14,支出,,6807,食品,クレジットカード,ネット,,nosh,,,必要,デビュープラス,
2024/08/13 06:15:06,2024/07/13,移動,,20000,,クレジットカード,,,SBI積立NISA入金決済,,,,デビュープラス,9月発注用
2024/07/13 21:57:05,2024/07/13,移動,,124,,現金,,,貯金箱へ,,貯金箱,,,
2024/07/13 19:39:22,2024/07/13,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/13 19:37:30,2024/07/13,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/13 18:33:55,2024/07/13,支出,,980,食品,現金,飲食店,,夕食,,,なくても良い,,
2024/07/13 14:13:08,2024/07/13,支出,,100,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/13 09:22:55,2024/07/13,支出,,140,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/13 09:19:49,2024/07/13,支出,,428,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/13 09:14:57,2024/07/13,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/13 21:56:05,2024/07/12,移動,,195000,,現金,,,預け入れ,,ゆうちょ,,,
2024/07/12 20:48:49,2024/07/12,支出,,1030,食品,paypay,飲食店,,夕食,,,必要,,
2024/07/12 20:02:34,2024/07/12,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/12 20:00:34,2024/07/12,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/12 08:31:29,2024/07/12,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/11 21:28:51,2024/07/11,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/11 19:39:39,2024/07/11,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/11 08:22:05,2024/07/11,支出,,406,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/11 08:18:13,2024/07/11,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/10 06:15:07,2024/07/10,支出,,1280,サブスク,クレジットカード,ネット,,Rentio ルンバレンタル,,,なくても良い,デビュープラス,6月利用分
2024/07/10 22:29:31,2024/07/10,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/10 22:27:56,2024/07/10,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/10 16:34:07,2024/07/10,支出,,140,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/10 08:49:16,2024/07/10,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/13 21:52:37,2024/07/09,収入,,36694,,,,,2024年06月分交通費,,現金,,,
2024/07/13 21:52:04,2024/07/09,収入,,159060,,,,,2024年06月分給料_SP,,現金,,,
2024/07/09 08:05:16,2024/07/09,支出,,268,食品,クレジットカード,コンビニ,,朝食,,,なくても良い,デビュープラス,
2024/07/08 23:49:29,2024/07/08,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/08 23:47:16,2024/07/08,支出,,157,交通費,PASMO,その他,,電車 川越〜川越市,,,なくても良い,,
2024/07/08 23:39:25,2024/07/08,支出,,770,交通費,PASMO,その他,,電車 新宿〜川越,,,必要,,
2024/07/08 23:31:54,2024/07/08,移動,,9308,,クレジットカード,,,立替,,paypay,,デビュープラス,
2024/07/08 23:26:54,2024/07/08,支出,,4654,趣味・娯楽,クレジットカード,飲食店,,同期飲み,,,なくても良い,デビュープラス,
2024/07/08 18:47:48,2024/07/08,移動,,252,交通費(経費),PASMO,,,電車 中目黒〜新宿三丁目,,,必要,,
2024/07/08 08:41:59,2024/07/08,支出,,797,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/08 08:30:09,2024/07/08,支出,,140,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/08 08:20:30,2024/07/08,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/08 7:40:55,2024/07/08,支出,,2196,減価償却,償却資産,ネット,,TORRAS S24 Ultraケース 減価償却,,,必要,,1回目/3回
2024/07/07 14:03:45,2024/07/07,支出,,1460,医療費,現金,その他,,歯医者,,,必要,,
2024/07/07 13:43:42,2024/07/07,支出,,912,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,
2024/07/06 20:06:36,2024/07/06,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/06 20:05:02,2024/07/06,移動,,617,交通費(経費),PASMO,,,電車 中目黒〜川越市,,,必要,,
2024/07/06 08:58:42,2024/07/06,支出,,757,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/06 08:12:29,2024/07/06,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/08/26 12:51:57,2024/07/05,支出,,2863,被服費,クレジットカード,ネット,,安全靴,,,必要,デビュープラス,
2024/07/05 19:24:44,2024/07/05,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/05 19:22:12,2024/07/05,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/05 13:48:11,2024/07/05,支出,,100,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/05 08:45:54,2024/07/05,支出,,406,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/07/23 17:47:00,2024/07/04,支出,,3309,サブスク,クレジットカード,ネット,,Claude3.5サブスク,,,なくても良い,デビュープラス,
2024/07/05 08:33:18,2024/07/04,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/04 21:17:19,2024/07/04,支出,,8504,減価償却,償却資産,ネット,,Galaxy S24 Ultra 512GB 減価償却,,,必要,,4回目/24回
2024/07/04 20:29:18,2024/07/04,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/07/04 20:28:02,2024/07/04,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/07/04 19:26:14,2024/07/04,移動,,10000,,クレジットカード,,,モバイルPASMOチャージ,,PASMO,,デビュープラス,
2024/07/04 15:44:04,2024/07/04,支出,,140,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
2024/07/04 08:22:52,2024/07/04,支出,,290,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,
2024/07/04 08:16:44,2024/07/04,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/04 08:01:15,2024/07/04,支出,,1048,日用品,amazonギフト,ネット,,ヘアスプレー,,,必要,,
2024/07/03 16:45:25,2024/07/03,支出,,1168,食品,クレジットカード,スーパー・小売,,食材,,,必要,デビュープラス,
2024/07/03 16:17:27,2024/07/03,支出,,400,交通費,PASMO,その他,,駐車場,,,なくても良い,,
2024/07/03 16:11:43,2024/07/03,支出,,3410,医療費,現金,その他,,歯医者,,,必要,,
2024/07/02 06:15:04,2024/07/02,移動,,10000,,,,,SBI積立NISA約定,,SBI積立NISA,,,7月発注分
2024/07/03 15:02:20,2024/07/02,支出,,220,交通費,PASMO,その他,,駐輪場,,,なくても良い,,
2024/07/02 17:04:41,2024/07/02,支出,,870,食品,クレジットカード,飲食店,,夕食,,,なくても良い,デビュープラス,
2024/07/02 06:15:04,2024/07/02,移動,,6028,,ゆうちょ,,,ENEOSカード支払い,,,,,
2024/07/01 17:09:18,2024/07/01,支出,,2967,特別費,クレジットカード,その他,,自転車修理,,,必要,デビュープラス,
2024/06/30 14:22:04,2024/06/30,支出,,609,食品,クレジットカード,飲食店,,昼食,,,なくても良い,デビュープラス,
2024/06/30 06:15:04,2024/06/30,支出,,2934,固定費,クレジットカード,ネット,,電気代,,,必要,デビュープラス,5月利用分
2024/06/29 23:03:47,2024/06/29,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/06/29 18:55:36,2024/06/29,移動,,617,交通費(経費),PASMO,,,電車 中目黒〜川越,,,必要,,
2024/06/29 08:39:05,2024/06/29,移動,,2750,食品,,,,タベソダ,,,,,2024年7月1回
2024/06/29 08:14:24,2024/06/29,支出,,613,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/06/29 08:09:49,2024/06/29,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/07/02 22:38:47,2024/06/28,支出,,290,食品,クレジットカード,コンビニ,,昼食,,,必要,デビュープラス,
2024/06/28 20:10:18,2024/06/28,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/06/28 20:07:30,2024/06/28,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/06/28 08:32:38,2024/06/28,移動,,617,交通費(経費),PASMO,その他,,電車 川越市〜中目黒,,,,,必要
2024/06/27 06:15:04,2024/06/27,移動,,5203,,ゆうちょ,,,paypayあと払い支払い,,,,,5月利用分
2024/06/27 06:15:04,2024/06/27,支出,,54300,固定費,ゆうちょ,ネット,,家賃,,,必要,,7月分
2024/08/26 12:42:19,2024/06/27,収入,,47,,,,,amazonギフト券還元,,amazonギフト,,,
2024/06/27 19:48:05,2024/06/27,支出,,7980,被服費,クレジットカード,その他,,ユニクロ,,,必要,デビュープラス,
2024/06/27 19:05:24,2024/06/27,支出,,970,食品,paypay,飲食店,,夕食,,,なくても良い,,
2024/06/26 06:15:05,2024/06/26,移動,,0,,三井住友銀行,,,Olive支払い,,,,,5月利用分
2024/06/26 06:15:05,2024/06/26,移動,,121985,,ゆうちょ,,,デビュープラス支払い,,,,,5月利用分
2024/06/26 13:27:27,2024/06/26,支出,,100,交通費,paypay,その他,,駐輪場,,,必要,,
2024/06/26 13:25:16,2024/06/26,移動,,617,交通費(経費),PASMO,その他,,電車 中目黒〜川越市,,,,,必要
2024/06/26 11:59:50,2024/06/26,支出,,830,食品,クレジットカード,飲食店,,昼食,,,必要,デビュープラス,
2024/06/26 08:55:54,2024/06/26,支出,,140,間食,クレジットカード,自動販売機,,飲み物,,,なくても良い,デビュープラス,
